Publisher,Article,Journal,DOI,Invoice date,Amount paid on APC (incl. VAT),Open Access on pub?,Correct licence on pub?,Access charges on pub?,Open Access?,Correct licence?,Access charges?,Problem-free OA publication
Elsevier,"Evidence for multiple Quaternary ice advances and fan development from the Amundsen Gulf cross-shelf trough and slope, Canadian Beaufort Sea margin",Marine and Petroleum Geology,10.1016/j.marpetgeo.2013.11.005,"Monday, 21 October 13","£1,893.38",Y,N,N,Y,Y,N,N
Elsevier,Surface morphology of homoepitaxial c-plane GaN: hillocks and ridges,Journal of Crystal Growth,10.1016/j.jcrysgro.2013.07.035,"Friday, 6 September 13","£1,730.22",Y,Y,N,Y,Y,N,Y
Elsevier,"Magma storage, transport and degassing during the 2008-10 summit eruption at Kilauea Volcano, Hawai`i",Geochimica et Cosmochimica Acta,10.1016/j.gca.2013.05.038,"Friday, 7 June 13","£1,919.78",Y,N,N,Y,Y,N,N
Elsevier,Non-canonical ubiquitylation: mechanisms and consequences,International Journal of Biochemistry and Cell Biology,10.1016/j.biocel.2013.05.026,"Friday, 7 June 13","£2,399.73",Y,Y,N,Y,Y,N,Y
Elsevier,Amphipathic polymer-mediated uptake of trehalose for Human cell cryopreservation,Cryobiology,10.1016/j.cryobiol.2013.09.002,"Tuesday, 17 September 13","£1,742.44",Y,Y,N,Y,Y,N,Y
Elsevier,Voxel-based morphometry with templates and validation in a mouse model of Huntington's disease,Magnetic Resonance Imaging,10.1016/j.mri.2013.06.001,"Friday, 28 June 13","£1,923.08",N,N,Y,Y,N,N,N
Elsevier,Identification of another module involved in the horizontal transfer of the Haemophilus genomic island ICEHin1056,Plasmid,10.1016/j.plasmid.2013.05.008,"Friday, 9 August 13","£2,065.87",Y,N,N,Y,N,N,N
Elsevier,The hypothalamus and metabolism: integrating signals to control energy and glucose homeostasis,Current Opinion in Pharmacology,10.1016/j.coph.2013.09.010,"Wednesday, 11 September 13","£2,949.24",Y,Y,N,Y,Y,N,Y
Elsevier,Meta-analytic evidence for neuroimaging models of depression: state or trait?,Journal of Affective Disorders,10.1016/j.jad.2013.07.002,"Thursday, 11 July 13","£2,017.02",Y,Y,Y,Y,Y,N,Y
Elsevier,Energy Performance Certification as a Signal of Workplace Quality,Energy Policy,10.1016/j.enpol.2013.07.043,"Friday, 26 July 13","£2,034.56",Y,N,N,Y,Y,N,N
Elsevier,"Age-related functional reorganisation, structural changes and preserved cognition",Neurobiology of Aging,10.1016/j.neurobiolaging.2013.07.003,"Thursday, 10 October 13",£385.68,Y,Y,Y,Y,Y,N,N
Elsevier,Are melanocortin receptors constitutively active in vivo?,European Journal of Pharmacology,10.1016/j.ejphar.2013.04.051,"Thursday, 1 August 13","£2,441.46",Y,N,N,Y,Y,N,N
Elsevier,GABA-ergic and neuronal structural markers in the nucleus accumbens core underlie trait-like impulsive behavior,Biological Psychiatry,10.1016/j.biopsych.2013.07.013,"Tuesday, 23 July 13","£2,420.41",Y,N,N,Y,N,N,N
Elsevier,Structure of an atypical periplasmic adaptor from a multidrug efflux pump of the spirochete Borrelia burgdorferi,FEBS Letters,10.1016/j.febslet.2013.06.056,"Monday, 5 August 13","£2,420.41",N,N,Y,Y,N,N,N
Elsevier,A Golden Approach to Ion Channel Inhibition,Trends in Pharmacological Sciences,10.1016/j.tips.2013.07.004,"Friday, 2 August 13","£2,236.02",Y,Y,N,Y,Y,N,Y
Elsevier,A method and tool for ïcradle to graveÍ embodied carbon and energy impacts of UK buildings,Energy and Buildings,10.1016/j.enbuild.2013.07.046,"Friday, 9 August 13","£1,982.83",Y,N,N,Y,N,N,N
Elsevier,The Skinny on Cocaine: insights into eating behavior and body weight in cocaine-dependent men,Appetite,10.1016/j.appet.2013.07.011,"Thursday, 22 August 13","£1,629.63",Y,Y,N,Y,Y,N,Y
Elsevier,On the global economic potentials and marginal costs of non-renewable resources and the price of energy commodities,Energy Policy,10.1016/j.enpol.2013.08.040,"Friday, 13 September 13","£1,875.00",Y,Y,N,Y,Y,N,Y
Elsevier,Aberrant disgust responses and immune reactivity in cocaine-dependent men,Biological Psychiatry,10.1016/j.biopsych.2013.08.004,"Monday, 19 August 13","£2,166.77",Y,N,Y,Y,N,N,N
Elsevier,"High performance inverted bulk heterojunction solar cells by incorporation of dense, thin ZnO layers made using atmospheric atomic layer deposition",Solar Energy Materials and Solar Cells,10.1016/j.solmat.2013.04.020,"Monday, 20 May 13","£2,662.45",Y,Y,N,Y,Y,N,Y
Elsevier,Geochemical provincialism in the Iceland plume,Geochimica et Cosmochimica Acta,10.1016/j.gca.2013.08.032,"Tuesday, 10 September 13","£1,903.51",Y,Y,N,Y,Y,N,Y
Elsevier,The Silicon Isotopic Composition of the Ganges and its Tributaries,Earth and Planetary Science Letters,10.1016/j.epsl.2013.08.026,"Monday, 26 August 13","£1,903.51",Y,Y,N,Y,Y,N,Y
Elsevier,"Effectiveness and equity impacts of town-wide cycling initiatives in England: a longitudinal, controlled natural experimental study",Social Science and Medicine,10.1016/j.socscimed.2013.08.030,"Friday, 20 September 13","£1,966.16",Y,Y,N,Y,Y,N,Y
Elsevier,Patterns and predictors of changes in active commuting over 12 months,Preventive Medicine,10.1016/j.ypmed.2013.07.020,"Thursday, 21 November 13","£1,666.17",Y,N,N,Y,Y,N,N
Elsevier,"Social relationships and healthful dietary behaviour: Evidence from over-50s in the EPIC cohort, UK",Social Science and Medicine,10.1016/j.socscimed.2013.08.018,"Friday, 20 September 13","£2,359.40",Y,Y,N,Y,Y,N,Y
Elsevier,The Coordination of Mg in Foraminiferal Calcite,Earth and Planetary Science Letters,10.1016/j.epsl.2013.09.037,"Thursday, 3 October 13","£1,553.54",Y,Y,N,Y,Y,N,Y
Elsevier,Anti-optimisation for modelling the vibration of locally non-linear structures,Journal of Sound and Vibration,10.1016/j.jsv.2013.06.028,"Friday, 23 August 13","£3,179.49",Y,Y,N,Y,Y,N,Y
Elsevier,The structure of the RLIP76 (RalBP1) RhoGAP domain-Ral binding domain dyad: fixed position of the domains leads to dual engagement of small G proteins at the membrane,Structure,10.1016/j.str.2013.09.007,"Tuesday, 24 September 13","£3,315.59",Y,N,N,Y,N,N,N
Elsevier,"Science, policy and place in volcanic disasters: Insights from Montserrat",Environmental Science and Policy,10.1016/j.envsci.2013.08.009,"Thursday, 19 September 13","£1,851.85",Y,N,N,Y,N,N,N
Elsevier,Synthesis of azafluorenones and related compounds using deprotocupration-aroylation followed by intramolecular direct arylation,Tetrahedron,10.1016/j.tet.2013.09.030,"Friday, 20 September 13","£1,189.69",Y,Y,N,Y,Y,N,Y
