DOI/PMID,Cost type,Cost (€),Article title,Journal title,Publisher,Year of publication,Open Access,Notes
10.1016/j.nucmedbio.2013.05.012,Hybrid Open Access," € 2,676.26 ","(R)-[11C]verapamil is selectively transported by murine and human P-glycoprotein at the blood–brain barrier, and not by MRP1 and BCRP.",Nuclear Medicine and Biology,ELSEVIER,2013,OA,
10.1016/j.biombioe.2012.11.022,Hybrid Open Access," € 2,980.06 ",‘Energy landscapes’: Meeting energy demands and human aspirations.,Biomass and Bioenergy,ELSEVIER,2013,OA,
10.1080/02671522.2012.754929,Hybrid Open Access," € 2,528.05 ","‘I don’t think I could, you know, just teach without any emotion’: exploring the nature and origin of university teachers’ emotions.",Research Papers in Education,TAYLOR & FRANCIS,2012,OA,
10.1553/joeb62s227,Hybrid Open Access," € 1,980.00 ",‘Just War’ and ‘Holy War’ in the Middle Ages.,JAHRBUCH DER ÖSTERREICHISCHEN BYZANTINISTIK,Verlag der österreichischen Akademie der Wissenschaften,2012,OA,
10.1093/glycob/cws172,Other publication costs," € 1,080.00 ",“Cross-glycosylation” of proteins in Bacteriodales species.,Glycobiology,OXFORD UNIVERSITY PRESS (OUP),2012,,
10.1039/C3CS60235D,Hybrid Open Access," € 2,960.53 ",“Green” electronics: biodegradable and biocompatible materials and devices for sustainable future.,Chemical Society Reviews,ROYAL SOCIETY OF CHEMISTRY (RSC),2014,OA,
10.1007/s13384-013-0129-5,Hybrid Open Access," € 2,618.00 ","“I don’t hide my feelings, even though I try to”: insight into teacher educator emotion display.",Australian Educational Researcher,SPRINGER VERLAG,2013,OA,
10.1016/j.jbusres.2012.02.029,Hybrid Open Access," € 1,625.42 ",“Translating” between survey answer formats.,Journal of Business Research,ELSEVIER,2013,OA,
10.1515/zac-2012-0024,Hybrid Open Access," € 2,082.50 ","„Siehe, Magier kamen aus dem Osten“: Eine Paraphrase der Magier-Perikope aus dem Matthäusevangelium (Mt 2,1-12).",ZEITSCHRIFT FÜR ANTIKES CHRISTENTUM/JOURNAL OF ANCIENT CHRISTIANITY,WALTER DE GRUYTER,2013,OA,
10.1016/j.jnucmat.2013.01.108,Hybrid Open Access," € 2,676.26 ",1D kinetic modelling of the JET SOL with tungsten divertor plates.,Journal of Nuclear Materials,ELSEVIER,2013,OA,
10.1007/s12104-012-9436-4,Hybrid Open Access," € 2,380.00 ","1H, 13C and 15N resonance assignments of human BASP1.",Biomolecular NMR Assignments,SPRINGER VERLAG,2012,OA,
10.1007/s12104-012-9437-3,Hybrid Open Access," € 2,380.00 ","1H, 13C, and 15N backbone and side chain resonance assignments of the C-terminal DNA binding and dimerization domain of v-Myc.",Biomolecular NMR Assignments,SPRINGER VERLAG,2012,OA,
10.1016/j.neulet.2013.01.014,Hybrid Open Access," € 2,676.26 ",25-Hydroxycholesterol regulates cholesterol homeostasis in the murine CATH.a neuronal cell line.,Neuroscience Letters,ELSEVIER,2013,OA,
10.1371/journal.pone.0065745,Gold Open Access," € 1,068.14 ",2-Deprenyl-Rheediaxanthone B Isolated from Metaxya rostrata Induces Active Cell Death in Colorectal Tumor Cells.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1002/anie.201207128,Other publication costs," € 1,996.64 ",2-SCF3 Uridine—A Powerful Label for Probing Structure and Function of RNA by 19F NMR Spectroscopy.,Angewandte Chemie - International Edition,WILEY-BLACKWELL,2012,OA,
10.1007/s00605-013-0541-y,Hybrid Open Access," € 2,618.00 ",2-Supernilpotent Mal’cev algebras.,Monatshefte für Mathematik,SPRINGER VERLAG,2013,OA,
10.1016/j.jsb.2013.10.003,Hybrid Open Access," € 1,999.41 ",3-D analysis of dictyosomes and multivesicular bodies in the green alga Micrasterias denticulata by FIB/SEM tomography.,Journal of Structural Biology,ELSEVIER,2013,OA,
10.1016/j.jsb.2013.10.003,Other publication costs," € 1,090.58 ",3-D analysis of dictyosomes and multivesicular bodies in the green alga Micrasterias denticulata by FIB/SEM tomography.,Journal of Structural Biology,ELSEVIER,2013,OA,
10.1371/journal.pone.0061766,Gold Open Access," € 1,058.90 ",4-Deoxyaurone Formation in Bidens ferulifolia (Jacq.) DC.,PLoS ONE,PUBLIC LIBRARY OF SCIENCE (PLOS),2013,OA,
10.1007/s11307-013-0654-7,Hybrid Open Access," € 2,618.00 ",68Ga-Triacetylfusarinine C and 68Ga-Ferrioxamine E for Aspergillus Infection Imaging: Uptake Specificity in Various Microorganisms.,Molecular Imaging and Biology,SPRINGER VERLAG,2013,OA,
10.1007/s11104-013-1671-7,Hybrid Open Access," € 2,618.00 ",A closeup study of early beech litter decomposition: potential drivers and microbial interactions on a changing substrate.,Plant and Soil,SPRINGER VERLAG,2013,OA,
10.1021/cn3001763,Hybrid Open Access," € 2,058.62 ",A Combined Approach Using Transporter-Flux Assays and Mass Spectrometry to Examine Psychostimulant Street Drugs of Unknown Content.,ACS Chemical Neuroscience,AMERICAN CHEMICAL SOCIETY (ACS),2013,OA,
10.1016/j.dss.2012.10.023,Hybrid Open Access, € 993.35 ,A comparison of representations for discrete multi-criteria decision problems.,Decision Support Systems,ELSEVIER,2013,OA,
10.1016/j.cosust.2013.07.010,Hybrid Open Access," € 3,345.32 ",A conceptual framework for analysing and measuring land-use intensity.,Current Opinion in Environmental Sustainability,ELSEVIER,2013,OA,
