Publisher,Article,Journal,DOI,Amount paid on APC (VAT not included),Amount paid on APC (VAT included),Open Access?,Correct licence?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIP,Ion-acoustic supersolitons in plasmas with two-temperature electrons: Boltzmann and kappa distributions,Physics of Plasmas,10.1063/1.4818888,,"£1,581.50",Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biochemical Society,Molecular mechanism and physiological role of active–deactive transition of mitochondrial complex I,Biochemical Society Transactions,10.1042/BST20130088,,"£1,800.00",N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,Physical activity and the rejuvenation of Connswater (PARC study): protocol for a natural experiment investigating the impact of urban regeneration on public health,BMC Public Health,10.1186/1471-2458-13-774,,"£1,535.10",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,A lesson in business: cost-effectiveness analysis of a novel financial incentive intervention for increasing physical activity in the workplace,BMC Public Health,10.1186/1471-2458-13-953,,"£1,535.10",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,cudaMap: a GPU accelerated program for gene expression connectivity mapping,BMC Bioinformatics,10.1186/1471-2105-14-305,,"£1,535.10",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,"Drugs affecting the renin-angiotensin system and survival from cancer: a population based study of breast, colorectal and prostate cancer patient cohorts",BMC Medicine,10.1186/1741-7015-12-28,,"£1,772.55",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsevier,Predator cue studies reveal strong trait-mediated effects in communities despite variation in experimental designs,Animal Behaviour,10.1016/j.anbehav.2013.09.036,"£1,373.53",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsevier,Critical role of water in the direct oxidation of CO and hydrocarbons in diesel exhaust after treatment catalysis,Applied Catalysis B: Environmental,10.1016/j.apcatb.2013.10.004,"£1,566.22",,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsevier,"Influence of Surface Structures, Subsurface Carbon and Hydrogen and Surface Alloying on the Activity and Selectivity of Acetylene Hydrogenation on Pd Surfaces: a Density Functional Theory Study",Journal of Catalysis,10.1016/j.jcat.2013.05.027,"£2,067.41",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsevier,Steam Reforming of Ethanol over Co3O4-Fe2O3 Mixed Oxides,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2013.04.009,"£1,566.22",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsevier,Investigating local relationships between trace elements in soils and cancer data,Spatial Statistics,10.1016/j.spasta.2013.05.001,"£1,566.22",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsevier,miR-24 and miR-205 expression is dependent on HPV onco-protein expression in keratinocytes,Virology,10.1016/j.virol.2013.10.014,"£1,123.53",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsevier,Investigation of moisture condition and Autoclam sensitivity on air permeability measurements for both normal concrete and high performance concrete,Construction and Building Materials,10.1016/j.conbuildmat.2013.06.087,"£1,566.22",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEEE,A Statistical Model for Shadowed Body Centric Communications Channels: Theory and Validation,IEEE Transactions on Antennas and Propagation,10.1109/TAP.2013.2295211,,"£1,107.93",Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOP,Tuneable magneto-optical metamaterials based on photonic resonances in nickel nanorod arrays,Materials Research Express,10.1088/2053-1591/1/1/015801,,"£2,040.00",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford Journals,Gene Sets Net Correlations Analysis (GSNCA): a multivariate differential coexpression test for gene sets,Bioinformatics,10.1093/bioinformatics/btt687,,"£2,100.00",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLoS,Connectivity mapping for candidate therapeutics identification using Next Generation Sequencing RNA,PLoS ONE,10.1371/journal.pone.0066902,,"£1,014.85",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLoS,Automated detection and measurement of isolated retinal arterioles by a combination of edge enhancement and cost analysis,PLoS ONE,10.1371/journal.pone.0091791,,£873.73,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Society Publishing,"Cheetahs, Acinonyx jubatus, balance turn capacity with pace when chasing prey",Biology Letters,10.1098/rsbl.2013.0620,,"£1,260.00",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSC,An investigation of the role of surface nitrate species in the oxidation of propene on a Pt-based diesel oxidation catalyst,Catalysis Science & Technology,10.1039/C3CY00349C,,"£1,920.00",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSC,Probing chemistry and kinetics of reactions in heterogeneous catalysts,Chemical Science,10.1039/C3SC51477C,,"£1,920.00",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSC,Assessing the surface modifications following the mechanochemical preparation of a Ag/Al2O3 selective catalytic reduction catalyst,Catalysis Science & Technology,10.1039/C3CY00945A,,"£1,920.00",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSC,"Sugar-derived organogels as templates for structured, photoluminescent conjugated polymer–inorganic hybrid materials",Chemical Communications,10.1039/C3CC43320J,,"£1,920.00",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springer,Advancing impact prediction and hypothesis testing in invasion ecology using a comparative functional response approach,Biological Invasions,10.1007/s10530-013-0550-8,,"£2,168.03",Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,A single-component multidrug transporter of the major facilitator superfamily is part of a network that protects Escherichia coli from bile salt stress,Molecular Microbiology,10.1111/mmi.12597,"£1,500.00",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley,Modification of Fluorescent Photoinduced Electron Transfer (PET) Sensors/Switches to Produce Molecular Photoionic Triode Action,Angewandte Chemie,10.1002/ange.201310939,"£1,875.00",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
