PMID/PMCID,Publisher,Journal title,Article title,COST (£)
PMC3442226,American Association of Immunologists,Journal of Immunology,"Abrogation of CD40-CD154 signalling impedes the homeostasis of thymic resident regulatory T cells by altering levels of IL-2, but does not affect regulatory T cell development","£2,534.56"
PMC3437522,American Association of Immunologists,Journal of Immunology,A Genetically Encoded IL-1_ Bioluminescence Resonance Energy Transfer Sensor To Monitor Inflammasome Activity,"£3,614.50"
PMC3442253,American Association of Immunologists,Journal of Immunology,"Sialoadhesin Promotes Rapid Proinflammatory and Type I IFN Responses to a Sialylated Pathogen, Campylobacter jejuni.","£1,915.17"
PMC3355655,American Chemical Society,ACS Chemical Biology,A Synthetic Polyphosphoinositide Headgroup Surrogate in Complex with SHIP2 Provides a Rationale for Drug Discovery,£657.94
PMC3220280,American Chemical Society,ACS Chemical Biology,A multi-functional proteaage inhibitor to regulate endo-lysomal function,"£1,318.67"
PMC3409616,American Chemical Society,ACS Chemical Biology,Amide Analogs of CD1d Agonists Modulate iNKT cell-Mediated Cytokine Production,"£1,242.31"
PMC3309607,American Chemical Society,ACS Chemical Neuroscience,Multiple Tyrosine Residues Contribute To GABA Binding In The GABAC Receptor Binding Pocket ,£764.48
PMC3256937,American Chemical Society,ACS Medical Chemistry  Letters,Steroidomimetic Tetrahydroisoquinolines for the Design of New Microtubule Disruptors,£653.95
PMC3413241,American Chemical Society,Analyrical Chemistry,Toggled RNA aptamers against aminologlycosides allow facile direction of antibiotics using gold nanpartical assays,"£1,329.75"
PMC3295202,American Chemical Society,Analytical Chemistry,Separation and identification of isomeric glycopeptides by high field asymmetric waveform ion mobility spectrometry,"£1,522.36"
PMC3472505,American Chemical Society,Analytical Chemistry,Stable isotope assisted metabolomics for network wide metbolic pathway elucidation,"£1,250.00"
PMC3423827,American Chemical Society,Analytical Chemistry,Systematic Evaluation of Extraction Methods for Multiplatform-Based Metabotyping: Application to the Fasciola hepatica Metabolome,"£1,259.12"
PMC3290102,American Chemical Society,Biochemistry,Conserved signal peptide recognition systems across the prokaryotic domains.,£636.26
PMC3466776,American Chemical Society,Biochemistry,Distinct mechanisms of calmodulin binding and regulation of adenyl cyclases 1 and 8,"£1,231.15"
PMC3336937,American Chemical Society,Biochemistry,Multiple binding sites for fatty acids on the potassium channel KcsA,"£1,247.12"
PMC3340940,American Chemical Society,Enviromental Science&Technology,Determination of neo- and D-chiro-Inositol Hexakisphosphate in Soils by Solution 31P NMR Spectroscopy,£640.32
PMC3191766,American Chemical Society,J. Am. Chem. Soc,Crystallographic snapshots of tyrosine phenol-lyase show that substrate strain plays a role in C-C bond cleavage,"£1,339.86"
PMC3285147,American Chemical Society,J.Medical  Chemistry,Aberrant Cyclization Affords a C-6 Modified Cyclic Adenosine 5_-Diphosphoribose Analogue with Biological Activity in Jurkat T Cells,£654.57
PMC3285137,American Chemical Society,J.Medical  Chemistry,Contribution of Phosphates and Adenine to the Potency of Adenophostins at the IP3 Receptor: Synthesis of All Possible Bisphosphates of Adenophostin A,£654.57
PMC3343700,American Chemical Society,JOC,Total Synthesis of a Cyclic Adenosine 5_-Diphosphate Ribose Receptor Agonist,£654.57
PMC3210546,American Chemical Society,Journal American Chemical Society,The mechanism of formation of n-formylkynurenine by heme dioxygenases,"£2,312.76"
PMC3280726,American Chemical Society,Journal American Chemical Society,"The mechanism of substrate inhibilitation in human indoleamine 2,3 dioxygenase","£2,312.76"
PMC3200031,American Chemical Society,Journal of Chemical Information and Modeling,Mining the ChEMBL database: an efficient chemoinformatics workflow for assembling an ion channel-focused screening library,"£1,272.53"
PMC3324984 ,American Chemical Society,Journal of Medicinal Chemistry,"Identification of Novel Antimalarial Chemotypes via Chemoinformatic Compound Selection Methods for a High Throughput Screening Program against the Novel Malarial Target, PfNDH2 : Increasing Hit Rate Via Virtual Screening Methods ","£1,303.00"
PMC3297363,American Chemical Society,Journal of Medicinal Chemistry,"Indentification, Design, and Biological Evaluation of Bisaryl Quinolones Targeting Plasmodium falciparum Type II NADH: Quinone Oxidoreductase (PfNDH2)","£1,303.00"
PMID: 21881087,American Chemical Society,Journal of Medicinal Chemistry,"Dihydroquinazolines as a novel class of Trypanosoma brucei trypanothione reductase inhibitors: discovery, synthesis, and characterization of their binding mode by protein crystallography",£660.07
PMC3256935,American Chemical Society,Journal of Medicinal Chemistry,Discovery of a novel classof orally active trypanocidal N-myristoyltransferase inhibitors,"£1,296.99"
PMID: 22428558,American Chemical Society,Journal of Proteome Research,Re-fraction: a machine learning approach for deterministic identification of protein homologues and splice variants in large-scale MS-based proteomics,"£1,254.30"
PMC3256936,American Chemical Society,Journal of Proteome Research,Network-based pipeline for analyzing MS data: an application toward liver cancer,"£1,520.81"
PMC3189705,American Chemical Society,Journal of Proteome Research,Absolute SILAC-compatibel expression strain allows somo-2-copy number determination in clinical samples,"£1,274.12"
PMC3411194,American Chemical Society,Journal of Proteome Research,Metabolic characterization of Leishmania major infection in activated and non-activated macrophages,"£1,259.12"
PMC3089987,American Chemical Society,Journal of Proteome Research,New Approaches for Biomarker Discovery: The Search for Liver Fibrosis Markers in Hepatitis C Patients,"£1,246.31"
PMC3292266,American Chemical Society,Journal of Proteome Research,"Proteomic plasma membrane profiling reveals an essential role for gp96 in the cell surface expression of LDLR family members, including the LDL receptor and LRP6","£1,314.00"
PMC3472506,American Chemical Society,Journal of Proteome Research,"Proteomics Signature Profiling (PSP): A novel contextualization approach applied towards cancer proteomics
","£1,531.78"
PMC3260739,American Chemical Society,Journal of the American Chemical Society,Selective uncoupling of individual mitochondria,£662.64
PMC3285120,American Chemical Society,Journal of the American Chemical Society,"A molecular mechanism for modulating plasma Zn speciation by fatty acids
",£631.00
PMC3425340,American College of Chest Physicians,Chest,Pneumococcal pneumonia: mechanisms of infection and resolution,"£1,989.33"
PMC3342783,American College of Chest Physicians,Chest,Defect of adaptation to hypoxia in COPD patients due to reduction of histone deacetylase 7,"£2,253.53"
PMC3418864,American College of Chest Physicians,Chest,Mast Cell Airway Smooth muscle crosstalk: the role of thymic stromal lymphopiotin,"£2,326.79"
"PMC3277294
",American College of Chest Physicians,Chest,ox40/ox40 mgand interactions in t-cell regulation and asthma,"£2,335.98"
PMC3094090,American Physiological Society,American Journal of Physiology,Mapping of reentrant spontaneous polymorphic ventricular tachycardia in a Scn5a+/- mouse model,"£1,251.18"
PMC3044044,American Physiological Society,American Journal of Physiology,Spatial and temporal heterogeneities are localized to the right ventricular outflow tract in a heterozygotic Scn5a mouse mode,"£1,251.18"
"PMC3213987
",American Physiological Society,American Journal of Physiology - Lung Cellular and Molecular Physiology,Regulation of monocyte subset pro-inflammatory responses within the lung microvasculature by the p38 MAPK/MK2 pathway,"£1,228.28"
PMC3191499,American Physiological Society,Heart and Circulatory Physiology,A mathematical model of action potentials of mouse sinoatrial node cells with molecular bases,£819.07
PMC3197364,American Physiological Society,Heart and Circulatory Physiology,Activation of Pak1/Akt/eNOS signaling following sphingosine-1-phosphate release as part of a mechanism protecting cardiomyocytes against ischemic cell injury,£634.31
PMC3379158,American Physiological Society,Journal of Applied Physiology,Nonlinearity between action potential alternans and restitution which both predict ventricular arrhythmic properties in Scn5a+/- and wild-type murine hearts ,"£1,235.64"
PMC3362245,American Physiological Society,Journal of Neurophysiology,Attentional selection of location and modality in vision and touch modulates low-frequency activity in associated sensory cortices,"£1,338.06"
PMC3289458,American Physiological Society,Journal of Neurophysiology,Facilitation of learning induced by both random and gradual visuomotor task variation,"£1,285.35"
PMC3234082,American Physiological Society,Journal of Neurophysiology,Feature integration in visual working memory: Parietal gamma activity is related to cognitive coordination,"£1,575.80"
PMC3331664,American Physiological Society,Journal of Neurophysiology,Glial-derived adenosine modulates spinal motor networks in mice,"£1,548.39"
PMC3349628,American Physiological Society,Journal of Neurophysiology,Mapping brain activation and information during category-specific visual working memory,"£1,688.72"
PMC3289469,American Physiological Society,Journal of Neurophysiology,Task-dependent coordination of rapid bimanual motor responses,"£1,298.56"
PMC3404796,American Physiological Society,Journal of Neurophysiology,Visuomotor feedback gains upregulate during the learning of novel dynamics,"£1,290.99"
PMC3544884,American Physiological Society,Journal of Neurophysiology,Coding of digit replacement by cell spiking and network oscillations in monkey sensorimotor cortex,"£1,487.11"
PMC3331598,American Physiological Society,Journal of Neurophysiology,Corticomuscular coherence during bilateral isometric arm voluntary contradictions in healthy humans,"£1,515.92"
PMC3217321,American Physiological Society,Physiological Genomics,Integrated genomic approaches to identification of candidate genes underlying metabolic and cardiovascular phenotypes in the spontaneously hypertensive rat.,"£1,520.81"
PMC3533260,American Psychiatric Publishing,American Journal of Psychiatry,Disruption in the Balance Between Goal-Directed Behavior and Habit Learning in Obsessive-Compulsive Disorder ,"£1,604.72"
PMC3129331,American Psychological Association,Behavioral Neuroscience,Decision Making and Reward in Frontal Cortex: Complementary Evidence From Neurophysiological and Neuropsychological Studies,"£2,931.53"
PMC3283358,American Psychological Association,Journal of Abnormal Psychology,Delusional conviction and reasoning biases: change and relationships over time.,"£3,004.44"
PMC3283436,American Psychological Association,Journal of Abnormal Psychology,The extent and nature of imagery during worry and positive thinking in Generalized Anxiety Disorder,"£2,956.21"
PMC2869476,American Psychological Association,Journal of Abnormal Psychology,Thought suppression in patients with bipolar disorder,"£2,689.57"
PMC3677941,American Psychological Association,Journal of Experimental Psychology: Animal Behavior Processes,Latent spatial learning in an environment with a distinctive shape,"£3,112.43"
PMC3268529,American Psychological Association,Journal of Experimental Psychology: General,Context-Gated Statistical Learning and Its Role in Visual-Saccadic Decisions,"£2,969.14"
PMC3268462,American Psychological Association,Journal of Experimental Psychology: Human Perception and Performance,"Together, slowly but surely: The role of social interaction and feedback on the build-up of benefit in collective decision-making.","£2,573.51"
PMC3167478,American Psychological Association,"Journal of Experimental Psychology: Learning, Memory and Cognition",Sequential analysis of the numerical Stroop effect reveals response suppression.,"£2,622.37"
PMC3248328,American Psychological Association,Neuropsychology,Numeracy skills in patients with degenerative disorders and focal brain lesions: a neuropsychological investigation,"£2,573.51"
PMC3283435,American Psychological Association,Psychological Bulletin,"Children’s antisocial behavior, mental health, drug use, and educational performance after parental incarceration: A systematic review and meta-analysis","£3,017.92"
PMID:22369178,American Psychological Association,Psychological Review,Planning and control model of motor visualing priming: reconciling motorvisual impairment and facilitation effects,"£3,092.99"
PMC3477976,American Public Health Association,American Journal of Public Health,"Patients´ rights and the national health service in britain, 1960s-1980s.","£1,583.00"
"PMC3268396
",American Society for Biochemistry and Molecular Biology,Biological Chemistry,"A Pivotal Heme-transfer Reaction Intermediate in Cytochrome c Biogenesis
","£1,283.64"
PMC3089500,American Society for Biochemistry and Molecular Biology,Biological Chemistry,"AS160 Phosphotyrosine-binding Domain Constructs Inhibit Insulin-stimulated GLUT4 Vesicle Fusion with the Plasma Membrane*
","£1,518.31"
PMC3293552,American Society for Biochemistry and Molecular Biology,BIOLOGICAL CHEMISTRY,STRUCTURAL ANALYSIS OF THE PLASMODIUM FALCIPARUM,"£1,280.29"
PMC3220528,American Society for Biochemistry and Molecular Biology,Jnl Biological Chemistry,Trypanosoma brucei metacaspase 4 is a pseudopeptidase and a virulence factor.,"£1,953.00"
PMC3256903,American Society for Biochemistry and Molecular Biology,Journal Biological Chemistry,An electrostatic switch controls palmitoylation of the large conductance voltage- and calcium-activated potassium (BK) channel.,"£1,308.60"
PMC3365938,American Society for Biochemistry and Molecular Biology,Journal for Biological Chemistry,Structural Evidence that colicin A binds to a novel binding site of TolA in the E.coli periplasm,"£1,491.99"
"PMC3340243
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Mir-3120 is a mirror microRNA that targets heat shock cognate protein 70 and auxilin and regulates clathrin vesicle uncoating,"£1,500.00"
PMC3247980,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The Molecular Basis of Folate Salvage in Plasmodium falciparum: Characterization of Two Folate Trasnporters,"£1,993.75"
PMC3390648,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,A conserved motif in the C-terminal tail of DNA polymerase alpha tethers primase to the eukaryotic replisome,"£1,603.74"
PMC3149346,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"An Undecided Coiled Coil: THE LEUCINE ZIPPER OF Nek2 KINASE EXHIBITS ATYPICAL CONFORMATIONAL EXCHANGE DYNAMICS
","£1,254.00"
PMC3365711,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Characterization of the chromoshadow domain-mediated binding of heterochromatin protein 1 a (HP1a) to histone H3,"£1,612.27"
