PMID,PMCID,DOI,Publisher,Owned by/Affiliated to/Journal of,ISSN,Journal Impact Factor,Journal Title,Hybrid or Pure OA?,Article title,Citations Google Scholar,Altmetric score,CC licence type,Copyright Owner,Is the article freely available?,Cost,Contributor,Notes,ROMEO,PMC,DOIURL,XML Metadata,OpenArticleGauge
,PMC3824068,0.1016/j.tins.2013.08.001,Elsevier (Cell Press),Elsevier,0166-2236,13.58,Trends in Neurosciences,Hybrid,Cytoplasmic dynein heavy chain: the servant of many masters,,,,,,"£2,404.40",,,ROMEO,PMC,DOI,Metadata,OAG
23771720,none,0.1093/ije/dyt086,Oxford University Press,The International Epidemiological Association,0300-5771,6.98,International Journal of Epidemiology,Hybrid,Cohort Profile: - A prospective cohort study of objective physical and cognitive capability and visual health in an ageing population of men and women in Norfolk (EPIC-Norfolk 3),,,,,,"£2,400.00",,Charges more for CC BY than CC BY-NC/ND,ROMEO,PMC,DOI,,OAG
23452318,none,0.1111/cch.12031,Wiley-Blackwell,,,,"Child: Care, Health Development",Hybrid,A Home-Intervention Using Augmentative and Alternative Communication (AAC) Techniques in rural Kenya: What are care givers' experiences?,,,,,,"£1,834.77",,,,PMC,DOI,,OAG
,PMC3470702,10.1002/ajmg.a.35558,Wiley-Blackwell,,,,American Journal of Medical Genetics,Hybrid,A Novel Nonsense CDK5RAP2 Mutation in a Somali Child with Primary Microcephaly,,,,,,"£2,307.01",,,ROMEO,PMC,DOI,,OAG
,PMC3698699,10.1002/ana.22109,Wiley-Blackwell,American Neurological Association and the Child Neurology Society,0364-5134,11.19,Annals of Neurology,Hybrid,Mutations in the autoregulatory domain of ?-tubulin 4a cause hereditary dystonia,,,,,,"£2,010.24",,,ROMEO,PMC,DOI,,OAG
,PMC3638323,10.1002/ana.23614,Wiley-Blackwell,American Neurological Association and the Child Neurology Society,0364-5134,11.19,Annals of Neurology,Hybrid,Glucocerebrosidase deficiency in substantia nigra of Parkinson's disease brains,,,,,,"£2,010.24",,,ROMEO,PMC,DOI,,OAG
,PMC3582024,10.1002/ana.23614,Wiley-Blackwell,American Neurological Association and the Child Neurology Society,0364-5134,11.19,Annals of Neurology,Hybrid,Ischaemic stroke is associated with the ABO locus: the Euroclot study,,,,,,"£2,276.48",,,ROMEO,PMC,DOI,,OAG
,PMC3698700,10.1002/ana.23832,Wiley-Blackwell,American Neurological Association and the Child Neurology Society,0364-5134,11.19,Annals of Neurology,Hybrid,Optic radiation tractography and vision in anterior temporal lobe resection,,,,,,"£1,500.00",,,ROMEO,PMC,DOI,,OAG
,PMC3580047,10.1002/ana.23838,Wiley-Blackwell,American Neurological Association and the Child Neurology Society,0364-5134,11.19,Annals of Neurology,Hybrid,Mitochondrial DNA deletions and neurodegeneration in multiple sclerosis,,,,,,"£2,184.22",,,ROMEO,PMC,DOI,,OAG
,PMC3555362,10.1002/anie.201008019,Wiley-Blackwell,German Chemical Society,1521-3773,13.73,Angewandte Chemie,Hybrid,From crystal-packing to molecular recognition: prediction and discovery of a binding site on the surface of Polo-like Kinase 1,,,,,,"£2,437.19",,,ROMEO,PMC,DOI,,OAG
,PMC3556687,10.1002/anie.201202660,Wiley-Blackwell,German Chemical Society,1521-3773,13.73,Angewandte Chemie,Hybrid,High-throughput interrogation of ligand binding mode using a fluorescence-based assay,,,,,,"£2,437.19",,,ROMEO,PMC,DOI,,OAG
,PMC3749465,10.1002/anie.201204459,Wiley-Blackwell,German Chemical Society,1521-3773,13.73,Angewandte Chemie,Hybrid,Site-Specific Identification of the Abeta Fibril-Glycosaminoglycan Interaction Site using Solid State NMR Spectroscopy,,,,,,"£2,979.91",,,ROMEO,PMC,DOI,,OAG
,PMC3547296,10.1002/anie.201205676,Wiley-Blackwell,German Chemical Society,1521-3773,13.73,Angewandte Chemie,Hybrid,Using ligand-mapping simulations to design a ligand selectively targeting a cryptic surface pocket of Polo-like kinase 1,,,,,,"£2,437.19",,,ROMEO,PMC,DOI,,OAG
,PMC3738939,10.1002/anie.201302098,Wiley-Blackwell,German Chemical Society,1521-3773,13.73,Angewandte Chemie,Hybrid,"Design and synthesis of cyclic ADP-4-thioribose as a stable equivalent of cyclic ADP-ribose, a calcium ion-mobilizing second messenger.",,,,,,"£3,026.17",,,ROMEO,PMC,DOI,,OAG
,PMC3625741,10.1002/art.27232,Wiley-Blackwell,American College of Rheumatology,2326-5205,7.48,Arthritis & Rheumatism,Hybrid,Lack of effect of a single injection of human C-reactive protein on murine lupus or nephrotoxic nephritis,,,,,,"£1,000.00",,,ROMEO,PMC,DOI,,OAG
,PMC3607248,10.1002/art.34451,Wiley-Blackwell,American College of Rheumatology,0004-3591,7.48,Arthritis & Rheumatism,Hybrid,Distinct roles for complement in glomerulonephritis and atherosclerosis revealed in mice with a combination of lupus and hyperlipidemia,,,,,,"£1,500.00",,,ROMEO,PMC,DOI,,OAG
,PMC3715109,10.1002/art.37921,Wiley-Blackwell,American College of Rheumatology,0004-3591,7.48,Arthritis & Rheumatism,Hybrid,Metabolic profiling predicts response to anti-TNF_ therapy in patients with rheumatoid arthritis,,,,,,"£1,500.00",,,ROMEO,PMC,DOI,,OAG
,PMC3840700,10.1002/art.38021,Wiley-Blackwell,American College of Rheumatology,0004-3591,7.48,Arthritis & Rheumatism,Hybrid,The impact of inflammation on metabolomic profiles in patients with arthritis,,,,,,"£1,500.00",,,ROMEO,PMC,DOI,,OAG
,PMC3792637,10.1002/cbic.201200714,Wiley-Blackwell,ChemPubSoc Europe,1439-4227,3.74,ChemBioChem,Hybrid,tructural insights into the recovery of aidolase activity in N-acetyl neuraminic acid lyase by replacement of the catelytically active lysine with gamma-thialysin using a chemical mutagenisis strategy,,,,,,"£2,153.41",,,ROMEO,PMC,DOI,,OAG
,PMC3625746,10.1002/cbic.201300037,Wiley-Blackwell,ChemPubSoc Europe,1439-4227,3.74,ChemBioChem,Hybrid,An Enzymatic Route to Selenazolines,1,,CC-BY-NC,,YES,"£2,083.48",Jackie Proven,,ROMEO,PMC,DOI,,OAG
,PMC3743171,10.1002/cbic.201300115,Wiley-Blackwell,ChemPubSoc Europe,1439-4227,3.74,ChemBioChem,Hybrid,A Prototypical Small-Molecule Modulator Uncouples Mitochondria in Response to Endogenous Hydrogen Peroxide Production,,,,,,"£1,851.15",,,ROMEO,PMC,DOI,,OAG
,PMC3660786,10.1002/cbm.1837,Wiley-Blackwell,,,1.92,Criminal Behavior and Mental Health,Hybrid,Testing the Cambridge Quality Checklists on a review of disrupted families and crime,,,,,,"£2,377.65",,,,PMC,DOI,,OAG
,PMC3569615,10.1002/chem.201201302,Wiley-Blackwell,German Chemical Society,,,Chemistry - European Journal,Hybrid,The use of electrospray mass spectrometry to determine speciation in a dynamic combinatorial library for anion recognition,,,,,,"£2,051.27",,,,PMC,DOI,,OAG
,PMC3743159,10.1002/cmdc.201300015,Wiley-Blackwell,ChemMedChem,1860-7179,none,ChemMedChem,Hybrid,"Synthesis and structure-activity relationship studies of derivatives of the dual aromatase-sulfatase inhibitor 4-{[(4-cyanophenyl)(4H-1,2,4-triazol-4-yl)amino]methyl}phenyl sulfamate.",,,,,,"£2,168.05",,,ROMEO,PMC,DOI,,OAG
,PMC3728731,10.1002/cmdc.201300072,Wiley-Blackwell,ChemMedChem,1860-7179,none,ChemMedChem,Hybrid,From On-Target to Off-Target Activity: Identification and Optimisation of Trypanosoma brucei GSK3 Inhibitors and Their Characterisation as Anti-Trypanosoma brucei Drug Discovery Lead Molecules,,,,,,"£1,816.70",,,ROMEO,PMC,DOI,,OAG
,PMC3963473,10.1002/cmdc.201300177,Wiley-Blackwell,ChemMedChem,1860-7179,none,ChemMedChem,Hybrid,Structure-Activity Relationship Studies of Pyrrolone Antimalarial Agents,,,,,,"£1,812.89",,,ROMEO,PMC,DOI,,OAG
,PMC3429859,10.1002/da.20875,Wiley-Blackwell,,,,Journal of Depression & Anxiety,Hybrid,A Comparison of Melancholic and Non-Melancholic Recurrent Major Depression in Han Chinese Women,,,,,,"£2,321.38",,,,PMC,DOI,,OAG
,PMC3429856,10.1002/da.20878,Wiley-Blackwell,,,,Journal of Depression & Anxiety,Hybrid,Clinical Predictors of Familial Depression in Han Chinese Women,,,,,,"£2,321.38",,,,PMC,DOI,,OAG
,PMC3698701,10.1002/dvdy.23970,Wiley-Blackwell,,1097-0177,2.59,Development Dynamics,Hybrid,Expression of glycosaminoglycan epitopes during zebrafish skeletogenesis,,,,,,"£2,400.00",,,ROMEO,PMC,DOI,,OAG
,PMC3638342,10.1002/dvg.22365,Wiley-Blackwell,,,,genesis: Journal of Genetics,Hybrid,The Caenorhabditis elegans homeobox gene ceh-19 is required for MC motoneuron function,,,,,,"£2,376.40",,,,PMC,DOI,,OAG
,PMC3586630,10.1002/ece3.438,Wiley-Blackwell,,2045-7758,,Ecology and Evolution,Pure OA,The bacterial parasite Pasteuria ramosa is not killed if it fails to infect: implications for coevolution,,,,,,"£1,440.00",,"All articles accepted from 14 August 2012 are published under the terms of the Creative Commons Attribution License.  All articles accepted before this date, were published under a Creative Commons Attribution Non-Commercial License",ROMEO,PMC,DOI,,OAG
,PMC3298641,10.1002/eji.201040528,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,"CD6 attenuates early and late signaling events, setting thresholds for T-cell activation",,,,,,"£2,256.65",,,ROMEO,PMC,DOI,,OAG
,PMC3781703,10.1002/eji.201142072,Wiley-Blackwell,European Federation of Immunological Societies,0014-2980,4.97,European Journal of Immunology,Hybrid,Rapid early innate control of hepatitis C virus during IFN-a treatment compromises adaptive CD4+ T-cell immunity,,,,,,"£2,380.96",,,ROMEO,PMC,DOI,,OAG
