doi,journal,title,publisher,manual_license,manual_status,oag_license,oag_status,license_url,provenance,source
10.1016/j.tins.2013.08.001,Trends in Neurosciences,Cytoplasmic dynein heavy chain: the servant of many masters,Elsevier (Cell Press),,,,,,,wellcome-12-13
10.1093/ije/dyt086,International Journal of Epidemiology,Cohort Profile: - A prospective cohort study of objective physical and cognitive capability and visual health in an ageing population of men and women in Norfolk (EPIC-Norfolk 3),Oxford University Press,,,cc-by,,http://ije.oxfordjournals.org/content/early/2013/06/03/ije.dyt086,"License decided by scraping the resource at http://ije.oxfordjournals.org/content/early/2013/06/03/ije.dyt086 and looking for the following license statement: ""This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/3.0/),
                     which permits unrestricted reuse, distribution, and reproduction in any medium, provided the original work is properly cited."".",wellcome-12-13
10.1111/cch.12031,"Child: Care, Health Development",A Home-Intervention Using Augmentative and Alternative Communication (AAC) Techniques in rural Kenya: What are care givers' experiences?,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1111/cch.12031/abstract;jsessionid=1B9C810947B9D4072759DFECFCEF2DF9.f01t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1111/cch.12031/abstract;jsessionid=1B9C810947B9D4072759DFECFCEF2DF9.f01t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/ajmg.a.35558,American Journal of Medical Genetics,A Novel Nonsense CDK5RAP2 Mutation in a Somali Child with Primary Microcephaly,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/ajmg.a.35558/abstract;jsessionid=0E770E2EA6A4458C3967D110AB716908.f04t02,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/ajmg.a.35558/abstract;jsessionid=0E770E2EA6A4458C3967D110AB716908.f04t02 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/ana.22109,Annals of Neurology,Mutations in the autoregulatory domain of ?-tubulin 4a cause hereditary dystonia,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/ana.22109/abstract;jsessionid=25089AE3318E9559B4812EE275681D8A.f04t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/ana.22109/abstract;jsessionid=25089AE3318E9559B4812EE275681D8A.f04t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/ana.23614,Annals of Neurology,Glucocerebrosidase deficiency in substantia nigra of Parkinson's disease brains,Wiley-Blackwell,,,,,,,wellcome-12-13
10.1002/ana.23614,Annals of Neurology,Ischaemic stroke is associated with the ABO locus: the Euroclot study,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/ana.23614/abstract;jsessionid=6D8454995BD526E0A07E7AA9E891061F.f02t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/ana.23614/abstract;jsessionid=6D8454995BD526E0A07E7AA9E891061F.f02t03 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/ana.23832,Annals of Neurology,Optic radiation tractography and vision in anterior temporal lobe resection,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/ana.23832/abstract;jsessionid=16E18EE48497D36D2EDE7FB5E0584164.f02t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/ana.23832/abstract;jsessionid=16E18EE48497D36D2EDE7FB5E0584164.f02t03 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/ana.23838,Annals of Neurology,Mitochondrial DNA deletions and neurodegeneration in multiple sclerosis,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/ana.23838/abstract;jsessionid=C3B4820EA8D97A4B6310D1C77AB90019.f01t01,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/ana.23838/abstract;jsessionid=C3B4820EA8D97A4B6310D1C77AB90019.f01t01 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
10.1002/anie.201008019,Angewandte Chemie,From crystal-packing to molecular recognition: prediction and discovery of a binding site on the surface of Polo-like Kinase 1,Wiley-Blackwell,,,free-to-read,,http://onlinelibrary.wiley.com/doi/10.1002/anie.201008019/abstract;jsessionid=C4F4777D3411C935820EC9A1FF3D4F54.f02t03,"License decided by scraping the resource at http://onlinelibrary.wiley.com/doi/10.1002/anie.201008019/abstract;jsessionid=C4F4777D3411C935820EC9A1FF3D4F54.f02t03 and looking for the following license statement: ""<span class=""openAccess"" title=""You have full text access to this OnlineOpen article"">You have full text access to this OnlineOpen article</span>"".",wellcome-12-13
