PMID/PMCID	Publisher	Journal title	Article title	COST (£) charged to Wellcome (inc VAT when charged)
"PMC3378987
"	Elsevier	Academy of Nutrition and Dietetics	Parent support and parent mediated behaviours are associated with children's sugary beverage consumption	2379.54
PMCID: PMC3780468	American Chemical Society	ACS Chemical Biology	A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.	1294.59
PMCID: PMC3621575	American Chemical Society	ACS Chemical Biology	Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.	1294.78
	American Chemical Society	ACS Chemical Biology	Discovery of β2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor	947.07
PMID: 24015914 PMC3833349 	American Chemical Society	ACS Chemical Biology	Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa	1267.76
: PMC3805332 	American Chemical Society	ACS Chemical Biology	Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2	2286.73
"PMCID:
    PMC3656742
"	American Chemical Society	ACS Chemical Neuroscience	Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation	1186.8
PMCID: 3584654	American Chemical Society	ACS NANO	HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION	642.89
2.3373658E7	American Chemical Society	ACS NANO	Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.	693.39
"PMCID:
    PMC3727331
"	International Union of Crystallography	Acta Crystallographica D	Clustering procedures for the optimal selection of data sets from multiple crystals in macromolecular  crystallography 	771.42
PMCID: PMC3565438	International Union of Crystallography	Acta Crystallographica D	Intensity statistics in the presence of translational non-crystallographic symmetry	773.74
PMCID: PMC3668577	International Union of Crystallography	Acta Crystallographica F	Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.	785.6
PMCID: PMC3606566	International Union of Crystallography	Acta Crystallographica F	Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase	807.67
"
    PMC3498934"	International Union of Crystallography	Acta Crystallographica D	Nearest-cell: a fast and easy tool for locating crystal matches in the PDB.	757.18
PMID:22993091 PMC3447403 	International Union of Crystallography	Acta Crystallographica D	Crystallization, dehydration and experimental phasing of WbdD, a bifunctional kinase and methyltransferase from Escherichia coli O9a	774.19
PMC3087623	International Union of Crystallography	Acta Crystallographica D	Structure of HLA-A*0301 in complex with a peptide of proteolipid protein: insights into the role of HLA-A alleles in susceptibility to multiple sclerosis.	750.16
PMC3808818 	Society for Publication of Acta Dermato-Venereologica	Acta Dermato Venereologica	"The Importance of a Full Clinical Examination: Assessment of Index
Lesions Referred to a Skin Cancer Clinic Without a Total Body Skin
Examination Would Miss One in Three Melanomas"	653.96
PMID: 23828613 (July 2013 Epub)	Springer	Acta Diabetologica	A rare SNP in pre-miR-34a is associated with increased levels of miR-34a in pancreatic beta cells	2336.28
PMC3374517	International Union of Crystallography	Acta Crystallographica F	Crystallization and preliminary crystallographic analysis of the major capsid proteins VP16 and VP17 of bacteriophage P23-77	754.9
PMC3549237	Springer	Acta Neuropathol	Overexpression of human wild-type FUS causes progressive motor neuron degeneration in an age- and dose-dependent fashion	1901.04
	Springer	Acta Neuropathologica	Î±-Synucleinopathy associated with G51D SNCA mutation: A link between Parkinson's disease and multiple system atrophy?	1884.01
PMC3661931	Springer	Acta Neuropathologica	Insufficient OPC migration into demyelinated lesions is a cause of poor remyelination in MS and mouse models	2250.97
3535376	Springer	Acta Neuropathologica	Unravelling the enigma o selective vulnerability in neurodegeneration: motor neurons resistant to degeneration in ALS show distinct gene expression characteristics and decreased susceptibility to excitotoxicity	2348.21
PMC3798121	Wiley-Blackwell	Acta Opthalmologica	Visual and psychological morbidity among patients with autosomal dominant optic atrophy	2270.16
21624095  PMCID: PMC3734623 	Wiley-Blackwell	Acta Physiol	Integration of transient receptor potential canonical channels with lipids	1991.5
In Process	Wiley-Blackwell	Addiction	Acute alcohol-related dysfunction as a predictor of employment status in a longitudinal study of working age men in Izhevsk, Russia.	1919.51
2.3734913E7	Wiley-Blackwell	Addiction	Childhood conduct disorder trajectories, prior risk factors and cannabis use at age 16: birth cohort study	2352.94
	Springer	Advances in Experimental Medicine and Biology	Wavelet cross-correlation to investigate regional variations in cerebral oxygenation in infants supported on extracorporeal membrane oxygenation	1928.45
	Springer	Advances in Experimental Medicine and Biology	Modelling Cerebrovascular Reactivity: A Novel Near-Infrared Biomarker of Cerebral Autoregulation?	1928.46
	Springer	Advances in Experimental Medicine and Biology	Normobaric hyperoxia does not change optical scattering or pathlength but does increase oxidised cytochrome C oxidase concentration in patients with brain injury	1928.46
	Springer	Advances in Experimental Medicine and Biology	Oscillations in cerebral haemodynamics in patients with falciparum malaria	1928.46
21948184 PMC3528370 	Springer	Age	The dominant human conjunctival epithelial CD8αβ+ T cell population is maintained with age but the number of CD4+ T cells increases.	2338.28
2.3340916E7	Springer-Verlag	Age	Voluntary exercise can strengthen the circadian system in aged mice	2002
PMID: 23672932 PMC3684112 	Oxford University Press	Age and Ageing	Early diagnosis and treatment of HIV infection: magnitude of benefit is greatest in older adults	2040
	Cambridge University Press	Ageing & Society	Who cares? Implications of care-giving and -receiving by HIV-infected or -affected older	1695
print published August 2013	Wiley-Blackwell	Aging Cell	TORC1 signaling inhibition by rapamycin and caffeine affect lifespan, global gene expression and cell proliferation of fission yeast	1970.57
PMC3713766	Wolters Kluwer	AIDS	HIV infected adolescents in Southern Africa can achieve good treatment outcomes: Results from a large retrospective cohort study.	1968.63
3748854	Wolters Kluwer	AIDS	Evaluation of an empiric risk screening score to identify acute and early HIV-1 infection among MSM in Coastal Kenya.	1834.77
"PMCID:
    PMC3647051
"	Wolters Kluwer	AIDS	Grassroots Community Organisations' Contribution to the Scale-Up of HIV Testing and Counselling Services in Zimbabwe	2374.52
3633780	Springer	AIDS Behav	Adherence to antiretroviral therapy and clinical outcomes among young adults reporting high-risk sexual behavior, including men who have sex with men, in coastal Kenya.	1834.77
In Process	Taylor and Francis	AIDS Care	Burden of HIV among primary school children and feasibility of primary school-linked HIV testing in Harare, Zimbabwe.	2145.6
"PMCID:
    PMC3590645"	Taylor and Francis	AIDS Care	Asset ownership among households caring for orphans and vulnerable children in rural Zimbabwe: The influence of ownership on children's health and social vulnerabilities	2399.28
"PMCID:
    PMC3613944"	Taylor and Francis	AIDS Care	Barriers to involvement of men in ANC and VCT in Khayelitsha, South Africa.	2399.28
"PMCID:
    PMC3687248
"	Taylor and Francis	AIDS Care	WORLDBANK Special Issue: Evidence for a contribution of the Community Response to HIV decline in eastern Zimbabwe?	2232.74
PMC3819359	Wolters Kluwer	AIDS Journal	Short title: TB and VL breakthrough and failure. Orig title: Temporal association between incident tuberculosis and poor virological outcomes in a South African antiretroviral treatment service.	2015.72
PMC3765690 	BioMed Central	AIDS Research and rapy	Collective Patient behaviours derailing ART rool-out in KwaZulu-Natal: Perspectives of Health Care Providers	1240
PMC3815011 	Wolters Kluwer	AIDS UK	HIV incidence and survival from age-specific seroprevalence after antiretroviral treatment scale up in rural South Africa	1836.92
PMC3773237 	Wolters Kluwer	AIDS UK	Sexual behaviour in a rural high HIV prevalence 	1836.92
PMC3633361	Oxford University Press	Alcohol and Alcoholism	Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems	2040
"PMCID:
    PMC3761189"	Wiley-Blackwell	Alimentrary Pharmacology & rapeutics	Predicting the development of acute kidney injury in liver cirrhosis--an analysis of glomerular filtration rate, proteinuria and kidney injury biomarkers.	2373.59
"PMCID:
    PMC3761188"	Wiley-Blackwell	Alimentrary Pharmacology & rapeutics	Meta-analysis: the diagnostic accuracy of critical flicker frequency in minimal hepatic encephalopathy	2373.59
2.351439E7	Taylor and Francis	Am J Bioeth	"The ""difficult patient"" conundrum in sickle cell disease in Kenya: complex sociopolitical problems need wide multidimensional solutions."	1804.19
3516067	The Sheridan Press	Am J Trop Med Hyg	Use of Rapid Diagnostic Tests in Malaria School Surveys in Kenya: Does their Under-performance Matter for Planning Malaria Control?	1152.5
2.3599091E7	American Psychiatric Association	Americal Journal of Psychiatry	High Loading of Polygenic Risk for ADHD in Children with Comorbid Aggression	2350.02
22971149 PMC3466778	American Chemical Society	American Chemical Society	Characterizing the Fatty Acid Binding Site in the Cavity of Potassium Channel KcsA	1533.29
	Wiley-Blackwell	American Ethnologist	This is our little Hajj? Muslim Holy sites and reappropriation of the sacred	1870.32
	Wiley-Blackwell	American Ethnologist	Public secrets in public health: knowing not to know while making scientific . ..	1870.67
PMC3639724	Oxford University Press	American Jnl Epidemiology	Using a nonparametric multilevel latent Markov model to evaluate diagnostics for trachoma.	2040
"PMC3545681
"	Dartmouth Journal Services	American Journal for Clinical Nutrition	Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.	1891.19
